"class","n_ref","n_pred","correct","producer_accuracy","user_accuracy","omission_error","commission_error"
"BAFA",73240,68945,63796,0.871054068814855,0.925317281891363,0.128945931185145,0.0746827181086374
"BG",2478,2502,2272,0.916868442292171,0.908073541167066,0.0831315577078289,0.0919264588329336
"BWBS",199471,198252,194785,0.976507863298424,0.982512156245586,0.0234921367015757,0.0174878437544136
"CDF",2977,2896,2830,0.950621430970776,0.977209944751381,0.0493785690292241,0.0227900552486188
"CMA",33223,35486,29624,0.891671432441381,0.834808093332582,0.108328567558619,0.165191906667418
"CWH",109624,110285,106047,0.967370283879442,0.961572289975971,0.0326297161205575,0.0384277100240287
"ESSF",187379,198506,177671,0.94819056564503,0.895040955940878,0.0518094343549704,0.104959044059122
"ICH",59355,61187,56341,0.949220790160896,0.920800169970745,0.0507792098391037,0.0791998300292546
"IDF",42433,42036,40105,0.945137039568261,0.954063183937577,0.0548629604317394,0.0459368160624227
"IMA",13208,12348,10789,0.816853422168383,0.873744735989634,0.183146577831617,0.126255264010366
"MH",53510,52383,45430,0.849000186880957,0.867266097779814,0.150999813119043,0.132733902220186
"MS",29024,28694,26105,0.899428059536935,0.909772077786297,0.100571940463065,0.0902279222137032
"PP",2953,3059,2649,0.897053843548933,0.865969271003596,0.102946156451067,0.134030728996404
"SBPS",23685,24465,22945,0.968756597002322,0.937870427140813,0.0312434029976778,0.0621295728591866
"SBS",114765,112827,109260,0.952032414063521,0.96838522694036,0.0479675859364789,0.03161477305964
"SWB",105649,99103,93928,0.889057160976441,0.947781600960617,0.110942839023559,0.0522183990393833
