bgc,ss_nospace,sppsplit,feasible,spp,newfeas,mod,outrange
BGdh_OR,BGdh_OR/110,Ju,1,Ju,1,,FALSE
BGdh_OR,BGdh_OR/110,Jw,3,Jw,3,,FALSE
BGdh_OR,BGdh_OR/110,Pn,3,Pn,5,WHM,FALSE
BGdh_OR,BGdh_OR/111,Aa,1,Aa,1,D6,FALSE
BGdh_OR,BGdh_OR/111,Act,5,Ac,5,D6,FALSE
BGdh_OR,BGdh_OR/111,Pyi,5,Py,5,D6,FALSE
BGdh_OR,BGdh_OR/Gg2,Ju,3,Ju,3,C4,FALSE
BGdh_OR,BGdh_OR/Gg2,Jw,3,Jw,3,C4,FALSE
BGdw_OR,BGdw_OR/110,Fdi,1,Fd,1,,FALSE
BGdw_OR,BGdw_OR/110,Pyi,1,Py,1,,FALSE
BGdw_OR,BGdw_OR/111,Act,2,Ac,2,,FALSE
BGdw_WA,BGdw_WA/110,Fdi,1,Fd,1,,FALSE
BGdw_WA,BGdw_WA/110,Pyi,1,Py,1,,FALSE
BGdw_WA,BGdw_WA/111,Act,2,Ac,2,D6,FALSE
BGmk_ID,BGmk_ID/110,At,1,At,1,,FALSE
BGmk_ID,BGmk_ID/110,Jr,3,Jr,3,,FALSE
BGmk_ID,BGmk_ID/110,Om,3,Om,3,,FALSE
BGmk_ID,BGmk_ID/111,Act,1,Ac,1,,FALSE
BGmk_ID,BGmk_ID/111,At,2,At,2,,FALSE
BGmk_ID,BGmk_ID/Gg,Jr,3,Jr,3,,FALSE
BGmk_ID,BGmk_ID/Gg,Pf,3,Pf,3,,FALSE
BGmk_MT,BGmk_MT/110,Fdi,1,Fd,1,,FALSE
BGmk_MT,BGmk_MT/110,Jr,3,Jr,3,,FALSE
BGmk_MT,BGmk_MT/111,Aa,2,Aa,2,D6,FALSE
BGmk_MT,BGmk_MT/111,Act,5,Ac,5,D6,FALSE
BGmk_MT,BGmk_MT/111,Fdi,2,Fd,2,D6,FALSE
BGmk_MT,BGmk_MT/Gg2,Jr,3,Jr,3,C4,FALSE
BGmk_NV,BGmk_NV/110,At,1,At,1,,FALSE
BGmk_NV,BGmk_NV/110,Jw,3,Jw,3,,FALSE
BGmk_NV,BGmk_NV/110,Om,3,Om,3,,FALSE
BGmk_NV,BGmk_NV/111,Aa,3,Aa,3,,FALSE
BGmk_NV,BGmk_NV/111,Act,3,Ac,3,,FALSE
BGmk_NV,BGmk_NV/111,Af,2,Af,2,,FALSE
BGmk_NV,BGmk_NV/111,At,1,At,1,,FALSE
BGmk_NV,BGmk_NV/Gg2,Om,3,Om,3,,FALSE
BGmm_MT,BGmm_MT/110,Fdi,1,Fd,1,,FALSE
BGmm_MT,BGmm_MT/110,Jr,3,Jr,3,,FALSE
BGmm_MT,BGmm_MT/111,Act,2,Ac,2,D6,FALSE
BGmm_MT,BGmm_MT/111,Fdi,5,Fd,5,D6,FALSE
BGmm_MT,BGmm_MT/Gg2,Jr,3,Jr,3,C4,FALSE
BGmw_OR,BGmw_OR/110,Fdi,2,Fd,2,,FALSE
BGmw_OR,BGmw_OR/110,Pyi,1,Py,1,,FALSE
BGmw_OR,BGmw_OR/111,Act,2,Ac,2,,FALSE
BGmw_WA,BGmw_WA/110,Fdi,2,Fd,2,,FALSE
BGmw_WA,BGmw_WA/110,Pyi,1,Py,1,,FALSE
BGmw_WA,BGmw_WA/111,Act,2,Ac,2,D6,FALSE
BGmw_WA,BGmw_WA/111,Fdi,5,Fd,5,D6,FALSE
BGmw_WA,BGmw_WA/111,Pyi,5,Py,5,D6,FALSE
BGwm_WA,BGwm_WA/110,Fdi,1,Fd,1,,FALSE
BGwm_WA,BGwm_WA/110,Pyi,1,Py,1,,FALSE
BGwm_WA,BGwm_WA/111,Act,2,Ac,2,D6,FALSE
BGwm_WA,BGwm_WA/111,Fdi,5,Fd,5,D6,FALSE
BGwm_WA,BGwm_WA/111,Pyi,5,Py,5,D6,FALSE
BGxh_WA,BGxh_WA/110,Pyi,2,Py,2,,FALSE
BGxh_WA,BGxh_WA/110,Qg,3,Qg,3,,FALSE
BGxh_WA,BGxh_WA/111,Act,2,Ac,2,D6,FALSE
BGxh_WA,BGxh_WA/111,Fdi,5,Fd,5,D6,FALSE
BGxh_WA,BGxh_WA/111,Pyi,5,Py,5,D6,FALSE
BGxh_WA,BGxh_WA/Gg2,Jw,3,Jw,3,C4,FALSE
BGxh1,BGxh1/102,Fdi,3,Fd,3,MRyan,FALSE
BGxh1,BGxh1/102,Pyi,2,Py,2,MRyan,FALSE
BGxh1,BGxh1/103,Fdi,2,Fd,2,MRyan,FALSE
BGxh1,BGxh1/103,Pyi,2,Py,2,MRyan,FALSE
BGxh1,BGxh1/110,At,2,At,2,MRyan,FALSE
BGxh1,BGxh1/110,Fdi,2,Fd,2,MRyan,FALSE
BGxh1,BGxh1/110,Pyi,2,Py,2,MRyan,FALSE
BGxh2,BGxh1/Fm01,Act,1,Ac,1,,FALSE
BGxh2,BGxh1/Fm01,At,2,At,2,,FALSE
BGxh2,BGxh1/Fm01,Ep,2,Ep,2,,FALSE
BGxh2,BGxh1/Fm01,Fdi,3,Fd,3,,FALSE
BGxh2,BGxh1/Fm01,Pyi,3,Py,3,,FALSE
BGxh2,BGxh1/Fm06,Act,1,Ac,1,,FALSE
BGxh2,BGxh1/Fm06,At,2,At,2,,FALSE
BGxh2,BGxh1/Fm06,Ep,2,Ep,2,,FALSE
BGxh2,BGxh1/Fm06,Fdi,3,Fd,3,,FALSE
BGxh2,BGxh1/Fm06,Pyi,3,Py,3,,FALSE
BGxh2,BGxh2/102,Fdi,2,Fd,2,MRyan,FALSE
BGxh2,BGxh2/102,Pyi,2,Py,2,MRyan,FALSE
BGxh2,BGxh2/110,Fdi,2,Fd,2,MRyan,FALSE
BGxh2,BGxh2/110,Pyi,2,Py,2,MRyan,FALSE
BGxh2,BGxh2/Fm01,Act,1,Ac,1,MRyan,FALSE
BGxh2,BGxh2/Fm01,At,2,At,2,MRyan,FALSE
BGxh2,BGxh2/Fm01,Ep,2,Ep,2,MRyan,FALSE
BGxh2,BGxh2/Fm01,Fdi,3,Fd,3,MRyan,FALSE
BGxh2,BGxh2/Fm01,Pyi,3,Py,3,MRyan,FALSE
PPxh2,BGxh2/Fm05,Act,1,Ac,1,,FALSE
PPxh2,BGxh2/Fm05,At,2,At,2,,FALSE
PPxh2,BGxh2/Fm05,Ep,2,Ep,2,,FALSE
PPxh2,BGxh2/Fm05,Fdi,3,Fd,3,,FALSE
PPxh2,BGxh2/Fm05,Pyi,3,Py,3,,FALSE
BGxh2,BGxh2/Fm06,Act,1,Ac,1,MRyan,FALSE
BGxh2,BGxh2/Fm06,At,2,At,2,MRyan,FALSE
BGxh2,BGxh2/Fm06,Ep,2,Ep,2,MRyan,FALSE
BGxh2,BGxh2/Fm06,Fdi,3,Fd,3,MRyan,FALSE
BGxh2,BGxh2/Fm06,Pyi,3,Py,3,MRyan,FALSE
BGxh3,BGxh3/110,Fdi,2,Fd,2,,FALSE
BGxh3,BGxh3/111,Fdi,2,Fd,2,,FALSE
BGxh3,BGxh3/112,Act,1,Ac,1,D6,FALSE
BGxh3,BGxh3/113,Act,1,Ac,1,,FALSE
BGxh3,BGxh3/113,Fdi,2,Fd,2,,FALSE
BGxw1,BGxw1/102,Fdi,2,Fd,2,MRyan,FALSE
BGxw1,BGxw1/102,Pyi,2,Py,2,MRyan,FALSE
BGxw1,BGxw1/110,Fdi,2,Fd,2,MRyan,FALSE
BGxw1,BGxw1/110,Pyi,2,Py,2,MRyan,FALSE
BGxw1,BGxw1/111,Fdi,2,Fd,2,MRyan,FALSE
BGxw1,BGxw1/111,Pyi,2,Py,2,MRyan,FALSE
BGxw1,BGxw1/Fm01,Act,1,Ac,1,MRyan,FALSE
BGxw1,BGxw1/Fm01,At,2,At,2,MRyan,FALSE
BGxw1,BGxw1/Fm01,Ep,2,Ep,2,MRyan,FALSE
BGxw1,BGxw1/Fm01,Fdi,3,Fd,3,MRyan,FALSE
BGxw1,BGxw1/Fm01,Pyi,3,Py,3,MRyan,FALSE
BGxw1,BGxw1/Fm05,Act,1,Ac,1,MRyan,FALSE
BGxw1,BGxw1/Fm05,At,2,At,2,MRyan,FALSE
BGxw1,BGxw1/Fm05,Ep,2,Ep,2,MRyan,FALSE
BGxw1,BGxw1/Fm05,Fdi,3,Fd,3,MRyan,FALSE
BGxw1,BGxw1/Fm05,Pyi,3,Py,3,MRyan,FALSE
BGxw2,BGxw2/110,Fdi,2,Fd,2,,FALSE
BGxw2,BGxw2/111,Fdi,2,Fd,2,,FALSE
BGxw2,BGxw2/112,Act,2,Ac,2,,FALSE
BGxw2,BGxw2/113,Fdi,1,Fd,1,,FALSE
BGxw2,BGxw2/114,At,1,At,1,,FALSE
BGxw2,BGxw2/115,At,1,At,1,D6,FALSE
BGxx_WY,BGxx_WY/110,Jr,3,Jr,3,,FALSE
BGxx_WY,BGxx_WY/110,Ju,1,Ju,1,,FALSE
BGxx_WY,BGxx_WY/110,Pe,2,Pe,2,,FALSE
BGxx_WY,BGxx_WY/111,Aa,1,Aa,1,,FALSE
BSJPap,BSJPap/a,Ep,3,Ep,3,B2,FALSE
BSJPap,BSJPap/a,Pj,1,Pj,1,B2,FALSE
BSJPap,BSJPap/b,Acb,3,Ac,3,C4,FALSE
BSJPap,BSJPap/b,At,1,At,1,C4,FALSE
BSJPap,BSJPap/b,Ep,3,Ep,3,C4,FALSE
BSJPap,BSJPap/b,Pj,1,Pj,1,C4,FALSE
BSJPap,BSJPap/b,Sb,2,Sb,2,C4,FALSE
BSJPap,BSJPap/b,Sw,2,Sx,2,C4,FALSE
BSJPap,BSJPap/c,Ep,3,Ep,3,,FALSE
BSJPap,BSJPap/c,Pj,1,Pj,1,,FALSE
BSJPap,BSJPap/c,Sb,1,Sb,1,,FALSE
BSJPap,BSJPap/c,Sw,2,Sx,2,,FALSE
BSJPap,BSJPap/d,Ep,3,Ep,3,,FALSE
BSJPap,BSJPap/d,Pj,1,Pj,1,,FALSE
BSJPap,BSJPap/d,Sb,1,Sb,1,,FALSE
BSJPap,BSJPap/e,Acb,3,Ac,3,D6,FALSE
BSJPap,BSJPap/e,At,1,At,1,D6,FALSE
BSJPap,BSJPap/e,Ep,2,Ep,2,D6,FALSE
BSJPap,BSJPap/e,Sb,3,Sb,3,D6,FALSE
BSJPap,BSJPap/e,Sw,1,Sx,1,D6,FALSE
BSJPap,BSJPap/f,Sb,1,Sb,1,,FALSE
BSJPap,BSJPap/g,Lt,2,Lt,2,,FALSE
BSJPap,BSJPap/g,Sb,1,Sb,1,,FALSE
BSJPap,BSJPap/h,Lt,1,Lt,1,,FALSE
BSJPap,BSJPap/h,Sb,3,Sb,3,,FALSE
BSJPku,BSJPku/a,Ep,3,Ep,3,B2,FALSE
BSJPku,BSJPku/a,Pj,1,Pj,1,B2,FALSE
BSJPku,BSJPku/b,Acb,3,Ac,3,C4,FALSE
BSJPku,BSJPku/b,At,1,At,1,C4,FALSE
BSJPku,BSJPku/b,Ep,3,Ep,3,C4,FALSE
BSJPku,BSJPku/b,Pj,1,Pj,1,C4,FALSE
BSJPku,BSJPku/b,Sb,2,Sb,2,C4,FALSE
BSJPku,BSJPku/b,Sw,2,Sx,2,C4,FALSE
BSJPku,BSJPku/c,Ep,3,Ep,3,,FALSE
BSJPku,BSJPku/c,Pj,1,Pj,1,,FALSE
BSJPku,BSJPku/c,Sb,1,Sb,1,,FALSE
BSJPku,BSJPku/c,Sw,2,Sx,2,,FALSE
BSJPku,BSJPku/d,Ep,3,Ep,3,,FALSE
BSJPku,BSJPku/d,Pj,1,Pj,1,,FALSE
BSJPku,BSJPku/d,Sb,1,Sb,1,,FALSE
BSJPku,BSJPku/e,Acb,3,Ac,3,D6,FALSE
BSJPku,BSJPku/e,At,1,At,1,D6,FALSE
BSJPku,BSJPku/e,Ep,2,Ep,2,D6,FALSE
BSJPku,BSJPku/e,Sb,3,Sb,3,D6,FALSE
BSJPku,BSJPku/e,Sw,1,Sx,1,D6,FALSE
BSJPku,BSJPku/f,Sb,1,Sb,1,,FALSE
BSJPku,BSJPku/g,Lt,2,Lt,2,,FALSE
BSJPku,BSJPku/g,Sb,1,Sb,1,,FALSE
BSJPku,BSJPku/h,Lt,1,Lt,1,,FALSE
BSJPku,BSJPku/h,Sb,3,Sb,3,,FALSE
BSJPpa,BSJPpa/a,Ep,3,Ep,3,B2,FALSE
BSJPpa,BSJPpa/a,Pj,1,Pj,1,B2,FALSE
BSJPpa,BSJPpa/b,Acb,3,Ac,3,C4,FALSE
BSJPpa,BSJPpa/b,At,1,At,1,C4,FALSE
BSJPpa,BSJPpa/b,Ep,3,Ep,3,C4,FALSE
