bgc,ss_nospace,sppsplit,feasible,spp,newfeas,mod,outrange
BSJPpa,BSJPpa/b,Pj,1,Pj,1,C4,FALSE
BSJPpa,BSJPpa/b,Sb,2,Sb,2,C4,FALSE
BSJPpa,BSJPpa/b,Sw,2,Sx,2,C4,FALSE
BSJPpa,BSJPpa/c,Ep,3,Ep,3,,FALSE
BSJPpa,BSJPpa/c,Pj,1,Pj,1,,FALSE
BSJPpa,BSJPpa/c,Sb,1,Sb,1,,FALSE
BSJPpa,BSJPpa/c,Sw,2,Sx,2,,FALSE
BSJPpa,BSJPpa/d,Ep,3,Ep,3,,FALSE
BSJPpa,BSJPpa/d,Pj,1,Pj,1,,FALSE
BSJPpa,BSJPpa/d,Sb,1,Sb,1,,FALSE
BSJPpa,BSJPpa/e,Acb,3,Ac,3,D6,FALSE
BSJPpa,BSJPpa/e,At,1,At,1,D6,FALSE
BSJPpa,BSJPpa/e,Ep,2,Ep,2,D6,FALSE
BSJPpa,BSJPpa/e,Sb,3,Sb,3,D6,FALSE
BSJPpa,BSJPpa/e,Sw,1,Sx,1,D6,FALSE
BSJPpa,BSJPpa/f,Sb,1,Sb,1,,FALSE
BSJPpa,BSJPpa/g,Lt,2,Lt,2,,FALSE
BSJPpa,BSJPpa/g,Sb,1,Sb,1,,FALSE
BSJPpa,BSJPpa/h,Lt,1,Lt,1,,FALSE
BSJPpa,BSJPpa/h,Sb,3,Sb,3,,FALSE
BWBScmC,BWBScmC/a,Pj,1,Pj,1,,FALSE
BWBScmC,BWBScmC/a,Pli,1,Pl,1,,FALSE
BWBScmC,BWBScmC/b,At,3,At,3,,FALSE
BWBScmC,BWBScmC/b,Ep,3,Ep,3,,FALSE
BWBScmC,BWBScmC/b,Pj,2,Pj,2,,FALSE
BWBScmC,BWBScmC/b,Pli,1,Pl,1,,FALSE
BWBScmC,BWBScmC/b,Sb,3,Sb,3,,FALSE
BWBScmC,BWBScmC/b,Sw,2,Sx,2,,FALSE
BWBScmC,BWBScmC/c,Pj,1,Pj,1,,FALSE
BWBScmC,BWBScmC/c,Pli,1,Pl,1,,FALSE
BWBScmC,BWBScmC/c,Sb,2,Sb,2,,FALSE
BWBScmC,BWBScmC/d,Acb,3,Ac,3,,FALSE
BWBScmC,BWBScmC/d,At,1,At,1,,FALSE
BWBScmC,BWBScmC/d,Bb,3,Bb,3,,FALSE
BWBScmC,BWBScmC/d,Ep,3,Ep,3,,FALSE
BWBScmC,BWBScmC/d,Pli,1,Pl,1,,FALSE
BWBScmC,BWBScmC/d,Sb,3,Sb,3,,FALSE
BWBScmC,BWBScmC/d,Sw,1,Sx,1,,FALSE
BWBScmC,BWBScmC/e,Acb,1,Ac,1,,FALSE
BWBScmC,BWBScmC/e,At,1,At,1,,FALSE
BWBScmC,BWBScmC/e,Bb,3,Bb,3,,FALSE
BWBScmC,BWBScmC/e,Ep,3,Ep,3,,FALSE
BWBScmC,BWBScmC/e,Sw,1,Sx,1,,FALSE
BWBScmC,BWBScmC/f,Acb,2,Ac,2,,FALSE
BWBScmC,BWBScmC/f,At,2,At,2,,FALSE
BWBScmC,BWBScmC/f,Bb,3,Bb,3,,FALSE
BWBScmC,BWBScmC/f,Ep,2,Ep,2,,FALSE
BWBScmC,BWBScmC/f,Pli,3,Pl,3,,FALSE
BWBScmC,BWBScmC/f,Sw,1,Sx,1,,FALSE
BWBScmC,BWBScmC/g,Pj,2,Pj,2,,FALSE
BWBScmC,BWBScmC/g,Pli,2,Pl,2,,FALSE
BWBScmC,BWBScmC/g,Sb,1,Sb,1,,FALSE
BWBScmC,BWBScmC/h,Ep,3,Ep,3,,FALSE
BWBScmC,BWBScmC/h,Sb,1,Sb,1,,FALSE
BWBScmC,BWBScmC/h,Sw,1,Sx,1,,FALSE
BWBScmC,BWBScmC/i,Sb,1,Sb,1,,FALSE
BWBScmC,BWBScmC/j,Lt,2,Lt,2,,FALSE
BWBScmC,BWBScmC/j,Sb,1,Sb,1,,FALSE
BWBScmC,BWBScmC/k,Lt,1,Lt,1,,FALSE
BWBScmC,BWBScmC/k,Sb,3,Sb,3,,FALSE
BWBScmE,BWBScmE/a,Pj,1,Pj,1,,FALSE
BWBScmE,BWBScmE/a,Pli,1,Pl,1,,FALSE
BWBScmE,BWBScmE/b,At,3,At,3,,FALSE
BWBScmE,BWBScmE/b,Ep,3,Ep,3,,FALSE
BWBScmE,BWBScmE/b,Pj,2,Pj,2,,FALSE
BWBScmE,BWBScmE/b,Pli,1,Pl,1,,FALSE
BWBScmE,BWBScmE/b,Sb,3,Sb,3,,FALSE
BWBScmE,BWBScmE/b,Sw,2,Sx,2,,FALSE
BWBScmE,BWBScmE/c,Pj,1,Pj,1,,FALSE
BWBScmE,BWBScmE/c,Pli,1,Pl,1,,FALSE
BWBScmE,BWBScmE/c,Sb,2,Sb,2,,FALSE
BWBScmE,BWBScmE/d,Acb,3,Ac,3,,FALSE
BWBScmE,BWBScmE/d,At,1,At,1,,FALSE
BWBScmE,BWBScmE/d,Bb,3,Bb,3,,FALSE
BWBScmE,BWBScmE/d,Ep,3,Ep,3,,FALSE
BWBScmE,BWBScmE/d,Pli,1,Pl,1,,FALSE
BWBScmE,BWBScmE/d,Sb,3,Sb,3,,FALSE
BWBScmE,BWBScmE/d,Sw,1,Sx,1,,FALSE
BWBScmE,BWBScmE/e,Acb,1,Ac,1,,FALSE
BWBScmE,BWBScmE/e,At,1,At,1,,FALSE
BWBScmE,BWBScmE/e,Bb,3,Bb,3,,FALSE
BWBScmE,BWBScmE/e,Ep,3,Ep,3,,FALSE
BWBScmE,BWBScmE/e,Sw,1,Sx,1,,FALSE
BWBScmE,BWBScmE/f,Acb,2,Ac,2,,FALSE
BWBScmE,BWBScmE/f,At,2,At,2,,FALSE
BWBScmE,BWBScmE/f,Bb,3,Bb,3,,FALSE
BWBScmE,BWBScmE/f,Ep,2,Ep,2,,FALSE
BWBScmE,BWBScmE/f,Pli,3,Pl,3,,FALSE
BWBScmE,BWBScmE/f,Sw,1,Sx,1,,FALSE
BWBScmE,BWBScmE/g,Pj,2,Pj,2,,FALSE
BWBScmE,BWBScmE/g,Pli,2,Pl,2,,FALSE
BWBScmE,BWBScmE/g,Sb,1,Sb,1,,FALSE
BWBScmE,BWBScmE/h,Ep,3,Ep,3,,FALSE
BWBScmE,BWBScmE/h,Sb,1,Sb,1,,FALSE
BWBScmE,BWBScmE/h,Sw,1,Sx,1,,FALSE
BWBScmE,BWBScmE/i,Sb,1,Sb,1,,FALSE
BWBScmE,BWBScmE/j,Lt,2,Lt,2,,FALSE
BWBScmE,BWBScmE/j,Sb,1,Sb,1,,FALSE
BWBScmE,BWBScmE/k,Lt,1,Lt,1,,FALSE
BWBScmE,BWBScmE/k,Sb,3,Sb,3,,FALSE
BWBScmNW,BWBScmNW/a,Pj,1,Pj,1,,FALSE
BWBScmNW,BWBScmNW/a,Pli,1,Pl,1,,FALSE
BWBScmNW,BWBScmNW/b,At,3,At,3,,FALSE
BWBScmNW,BWBScmNW/b,Ep,3,Ep,3,,FALSE
BWBScmNW,BWBScmNW/b,Pj,2,Pj,2,,FALSE
BWBScmNW,BWBScmNW/b,Pli,1,Pl,1,,FALSE
BWBScmNW,BWBScmNW/b,Sb,3,Sb,3,,FALSE
BWBScmNW,BWBScmNW/b,Sw,2,Sx,2,,FALSE
BWBScmNW,BWBScmNW/c,Pj,1,Pj,1,,FALSE
BWBScmNW,BWBScmNW/c,Pli,1,Pl,1,,FALSE
BWBScmNW,BWBScmNW/c,Sb,2,Sb,2,,FALSE
BWBScmNW,BWBScmNW/d,Acb,3,Ac,3,,FALSE
BWBScmNW,BWBScmNW/d,At,1,At,1,,FALSE
BWBScmNW,BWBScmNW/d,Bb,3,Bb,3,,FALSE
BWBScmNW,BWBScmNW/d,Ep,3,Ep,3,,FALSE
BWBScmNW,BWBScmNW/d,Pli,1,Pl,1,,FALSE
BWBScmNW,BWBScmNW/d,Sb,3,Sb,3,,FALSE
BWBScmNW,BWBScmNW/d,Sw,1,Sx,1,,FALSE
BWBScmNW,BWBScmNW/e,Acb,1,Ac,1,,FALSE
BWBScmNW,BWBScmNW/e,At,1,At,1,,FALSE
BWBScmNW,BWBScmNW/e,Bb,3,Bb,3,,FALSE
BWBScmNW,BWBScmNW/e,Ep,3,Ep,3,,FALSE
BWBScmNW,BWBScmNW/e,Sw,1,Sx,1,,FALSE
BWBScmNW,BWBScmNW/f,Acb,2,Ac,2,,FALSE
BWBScmNW,BWBScmNW/f,At,2,At,2,,FALSE
BWBScmNW,BWBScmNW/f,Bb,3,Bb,3,,FALSE
BWBScmNW,BWBScmNW/f,Ep,2,Ep,2,,FALSE
BWBScmNW,BWBScmNW/f,Pli,3,Pl,3,,FALSE
BWBScmNW,BWBScmNW/f,Sw,1,Sx,1,,FALSE
BWBScmNW,BWBScmNW/g,Pj,2,Pj,2,,FALSE
BWBScmNW,BWBScmNW/g,Pli,2,Pl,2,,FALSE
BWBScmNW,BWBScmNW/g,Sb,1,Sb,1,,FALSE
BWBScmNW,BWBScmNW/h,Ep,3,Ep,3,,FALSE
BWBScmNW,BWBScmNW/h,Sb,1,Sb,1,,FALSE
BWBScmNW,BWBScmNW/h,Sw,1,Sx,1,,FALSE
BWBScmNW,BWBScmNW/i,Sb,1,Sb,1,,FALSE
BWBScmNW,BWBScmNW/j,Lt,2,Lt,2,,FALSE
BWBScmNW,BWBScmNW/j,Sb,1,Sb,1,,FALSE
BWBScmNW,BWBScmNW/k,Lt,1,Lt,1,,FALSE
BWBScmNW,BWBScmNW/k,Sb,3,Sb,3,,FALSE
BWBScmW,BWBScmW/a,Pj,1,Pj,1,,FALSE
BWBScmW,BWBScmW/a,Pli,1,Pl,1,,FALSE
BWBScmW,BWBScmW/b,At,3,At,3,,FALSE
BWBScmW,BWBScmW/b,Ep,3,Ep,3,,FALSE
BWBScmW,BWBScmW/b,Pj,2,Pj,2,,FALSE
BWBScmW,BWBScmW/b,Pli,1,Pl,1,,FALSE
BWBScmW,BWBScmW/b,Sb,3,Sb,3,,FALSE
BWBScmW,BWBScmW/b,Sw,2,Sx,2,,FALSE
BWBScmW,BWBScmW/c,Pj,1,Pj,1,,FALSE
BWBScmW,BWBScmW/c,Pli,1,Pl,1,,FALSE
BWBScmW,BWBScmW/c,Sb,2,Sb,2,,FALSE
BWBScmW,BWBScmW/d,Acb,3,Ac,3,,FALSE
BWBScmW,BWBScmW/d,At,1,At,1,,FALSE
BWBScmW,BWBScmW/d,Bb,3,Bb,3,,FALSE
BWBScmW,BWBScmW/d,Ep,3,Ep,3,,FALSE
BWBScmW,BWBScmW/d,Pli,1,Pl,1,,FALSE
BWBScmW,BWBScmW/d,Sb,3,Sb,3,,FALSE
BWBScmW,BWBScmW/d,Sw,1,Sx,1,,FALSE
BWBScmW,BWBScmW/e,Acb,1,Ac,1,,FALSE
BWBScmW,BWBScmW/e,At,1,At,1,,FALSE
BWBScmW,BWBScmW/e,Bb,3,Bb,3,,FALSE
BWBScmW,BWBScmW/e,Ep,3,Ep,3,,FALSE
BWBScmW,BWBScmW/e,Sw,1,Sx,1,,FALSE
BWBScmW,BWBScmW/f,Acb,2,Ac,2,,FALSE
BWBScmW,BWBScmW/f,At,2,At,2,,FALSE
BWBScmW,BWBScmW/f,Bb,3,Bb,3,,FALSE
BWBScmW,BWBScmW/f,Ep,2,Ep,2,,FALSE
BWBScmW,BWBScmW/f,Pli,3,Pl,3,,FALSE
BWBScmW,BWBScmW/f,Sw,1,Sx,1,,FALSE
BWBScmW,BWBScmW/g,Pj,2,Pj,2,,FALSE
BWBScmW,BWBScmW/g,Pli,2,Pl,2,,FALSE
BWBScmW,BWBScmW/g,Sb,1,Sb,1,,FALSE
BWBScmW,BWBScmW/h,Ep,3,Ep,3,,FALSE
BWBScmW,BWBScmW/h,Sb,1,Sb,1,,FALSE
BWBScmW,BWBScmW/h,Sw,1,Sx,1,,FALSE
BWBScmW,BWBScmW/i,Sb,1,Sb,1,,FALSE
BWBScmW,BWBScmW/j,Lt,2,Lt,2,,FALSE
BWBScmW,BWBScmW/j,Sb,1,Sb,1,,FALSE
BWBScmW,BWBScmW/k,Lt,1,Lt,1,,FALSE
BWBScmW,BWBScmW/k,Sb,3,Sb,3,,FALSE
BWBSdk,BWBSdk/101,Acb,3,Ac,3,C4,FALSE
BWBSdk,BWBSdk/101,At,1,At,1,C4,FALSE
BWBSdk,BWBSdk/101,Bl,2,Bl,2,C4,FALSE
BWBSdk,BWBSdk/101,Ep,3,Ep,3,C4,FALSE
BWBSdk,BWBSdk/101,Pli,1,Pl,1,C4,FALSE
BWBSdk,BWBSdk/101,Sb,3,Sb,3,C4,FALSE
BWBSdk,BWBSdk/101,Sw,1,Sx,1,C4,FALSE
BWBSdk,BWBSdk/101a,Acb,3,Ac,3,WHM,FALSE
BWBSdk,BWBSdk/101a,At,1,At,1,WHM,FALSE
BWBSdk,BWBSdk/101a,Bl,2,Bl,2,WHM,FALSE
BWBSdk,BWBSdk/101a,Ep,3,Ep,3,WHM,FALSE
BWBSdk,BWBSdk/101a,Pli,1,Pl,1,WHM,FALSE
BWBSdk,BWBSdk/101a,Sb,3,Sb,3,WHM,FALSE
BWBSdk,BWBSdk/101a,Sw,1,Sx,1,WHM,FALSE
BWBSdk,BWBSdk/101b,Acb,2,Ac,2,WHM,FALSE
BWBSdk,BWBSdk/101b,At,2,At,2,WHM,FALSE
BWBSdk,BWBSdk/101b,Bl,2,Bl,2,WHM,FALSE
BWBSdk,BWBSdk/101b,Ep,3,Ep,3,WHM,FALSE
BWBSdk,BWBSdk/101b,Pli,1,Pl,1,WHM,FALSE
BWBSdk,BWBSdk/101b,Sb,2,Sb,2,WHM,FALSE
BWBSdk,BWBSdk/101b,Sw,1,Sx,1,WHM,FALSE
BWBSdk,BWBSdk/102,At,3,At,3,B2,FALSE
BWBSdk,BWBSdk/102,Bl,3,Bl,3,B2,FALSE
BWBSdk,BWBSdk/102,Pli,2,Pl,2,B2,FALSE
BWBSdk,BWBSdk/102,Sb,5,Sb,5,B2,FALSE
BWBSdk,BWBSdk/102,Sw,3,Sx,3,B2,FALSE
BWBSdk,BWBSdk/103,At,2,At,2,,FALSE
BWBSdk,BWBSdk/103,Bl,2,Bl,2,,FALSE
BWBSdk,BWBSdk/103,Ep,3,Ep,3,,FALSE
BWBSdk,BWBSdk/103,Pli,1,Pl,1,,FALSE
BWBSdk,BWBSdk/103,Sb,3,Sb,3,,FALSE
BWBSdk,BWBSdk/103,Sw,1,Sx,1,,FALSE
BWBSdk,BWBSdk/104,At,2,At,2,,FALSE
BWBSdk,BWBSdk/104,Bl,3,Bl,3,,FALSE
BWBSdk,BWBSdk/104,Pli,2,Pl,2,,FALSE
BWBSdk,BWBSdk/104,Sb,2,Sb,2,,FALSE
BWBSdk,BWBSdk/104,Sw,1,Sx,1,,FALSE
BWBSdk,BWBSdk/104a,At,2,At,2,WHM,FALSE
BWBSdk,BWBSdk/104a,Bl,3,Bl,3,WHM,FALSE
