"","BGC"
"1","BAFAun"
"2","BAFAunp"
"3","BGxxx_WY"
"4","BWBScm"
"5","BWBSdm"
"6","BWBSlb"
"7","CMAun"
"8","CMAun_CA"
"9","CMAun_OR"
"10","CMAun_WA"
"11","CMAunp"
"12","CMAwh"
"13","CWHdm"
"14","CWHvh3"
"15","ESSFab"
"16","CWHxm1"
"17","CWHxm2"
"18","CWHxm3"
"19","ESSFdw_ID"
"20","ESSFmwp_WA"
"21","ESSFwmp_MT"
"22","ESSFxcp_CO"
"23","ESSFxcp_WA"
"24","ESSFxkp_MT"
"25","ESSFxkp_UT"
"26","ESSFxkp_WY"
"27","ESSFxwp_OR"
"28","ESSFxxp_WY"
"29","FGff"
"30","FGnf"
"31","IDFmw1"
"32","IDFww1"
"33","IMAab"
"34","IMAun_CO"
"35","IMAun_MT"
"36","IMAun_WA"
"37","IMAun_WY"
"38","IMAun_ID"
"39","IMAun_OR"
"40","MGPdm"
"41","MGPmg"
"42","MHdmp_OR"
"43","IDFxh4"
"44","MHmmp_WA"
"45","MHmsp_WA"
"46","MHRFdmp_OR"
"47","MHRFdsp_CA"
"48","IMAun"
"49","MMMdk_NV"
"50","MSab"
"51","IMAunp"
"52","MHwh1"
"53","OWdm_OR"
"54","OWmm_OR"
"55","MSmw1"
"56","MSmw2"
"57","PPxh3"
"58","SWBmks"
"59","SWBuns"
"60","SWBvks"
