"","BGC","ss_nospace"
"1","BWBSvk","BWBSvk/d"
"2","CDFmm","CDFmm/113"
"3","CWHds2","CWHds2/101a"
"4","CWHds2","CWHds2/101b"
"5","CWHmm1","CWHmm1/103.1"
"6","CWHmm1","CWHmm1/103.2"
"7","CWHvm4","CWHvm4/111.1"
"8","CWHvm4","CWHvm4/111.2"
"9","CWHwm","CWHwm/101a"
"10","CWHwm","CWHwm/101b"
"11","CWHws1","CWHws1/101a"
"12","CWHws1","CWHws1/101b"
"13","CWHws1","CWHws1/103a"
"14","CWHws1","CWHws1/103b"
"15","ESSFun","ESSFun/d"
"16","IDFdw","IDFdw/01"
"17","IDFdw","IDFdw/d"
"18","IDFdw","IDFdw/h"
"19","SBSun","SBSun/d"
"20","SWBvk","SWBvk/d"
