"","BGC","ss_nospace"
"206","CWHwm","CWHwm/Fm"
"207","CWHwm","CWHwm/Wb"
"208","CWHwm","CWHwm/Ws"
"209","CWHws1","CWHws1/Fl"
"210","CWHws1","CWHws1/Wb"
"211","CWHws1","CWHws1/Ws"
"212","CWHws2","CWHws2/Fl"
"213","CWHws2","CWHws2/Fm"
"214","CWHws2","CWHws2/Wb"
"215","CWHws2","CWHws2/Ws"
"216","CWHws3","CWHws3/Fl"
"217","CWHws3","CWHws3/Fm"
"218","CWHws3","CWHws3/Ws"
"219","CWHxm_OR","CWHxm_OR/Ro"
"220","CWHxm_WA","CWHxm_WA/Ro"
"221","CWHxs","CWHxs/Fl"
"222","CWHxs","CWHxs/Fm"
"223","CWHxs","CWHxs/Ws"
"224","ESSFabC","ESSFabC/a"
"225","ESSFabC","ESSFabC/e"
"226","ESSFabC","ESSFabC/Ro"
"227","ESSFabE","ESSFabE/a"
"228","ESSFabE","ESSFabE/e"
"229","ESSFabE","ESSFabE/Ro"
"230","ESSFabN","ESSFabN/a"
"231","ESSFabN","ESSFabN/e"
"232","ESSFabN","ESSFabN/Ro"
"233","ESSFabS","ESSFabS/a"
"234","ESSFabS","ESSFabS/e"
"235","ESSFabS","ESSFabS/Ro"
"236","ESSFdc1","ESSFdc1/Ro"
"237","ESSFdc2","ESSFdc2/Ro"
"238","ESSFdc3","ESSFdc3/09"
"239","ESSFdcw","ESSFdcw/Ro"
"240","ESSFdh_WA","ESSFdh_WA/Ro"
"241","ESSFdk_MT","ESSFdk_MT/Ro"
"242","ESSFdk1","ESSFdk1/Ro"
"243","ESSFdk2","ESSFdk2/Ro"
"244","ESSFdkp_MT","ESSFdkp_MT/Ro"
"245","ESSFdkw","ESSFdkw/Ro"
"246","ESSFdm_ID","ESSFdm_ID/Ro"
"247","ESSFdmp_ID","ESSFdmp_ID/Ro"
"248","ESSFmcw","ESSFmcw/Ro"
"249","ESSFmh","ESSFmh/112.1"
"250","ESSFmh","ESSFmh/112.2"
"251","ESSFmh","ESSFmh/Ro"
"252","ESSFmkw","ESSFmkw/Ro"
"253","ESSFmm1","ESSFmm1/Ro"
"254","ESSFmm2","ESSFmm2/Ro"
"255","ESSFmm3","ESSFmm3/Ro"
"256","ESSFmmw","ESSFmmw/Ro"
"257","ESSFmv1","ESSFmv1/Ro"
"258","ESSFmv2","ESSFmv2/Ro"
"259","ESSFmv3","ESSFmv3/Ro"
"260","ESSFmv4","ESSFmv4/Ro"
"261","ESSFmw_WA","ESSFmw_WA/Ro"
"262","ESSFmw1","ESSFmw1/101.1"
"263","ESSFmw1","ESSFmw1/101.2"
"264","ESSFmwp_WA","ESSFmwp_WA/00"
"265","ESSFun","ESSFun/x"
"266","ESSFvc","ESSFvc/06"
"267","ESSFvcw","ESSFvcw/06"
"268","ESSFvh_ID","ESSFvh_ID/Ro"
"269","ESSFwc2","ESSFwc2/10"
"270","ESSFwc2","ESSFwc2/Ro"
"271","ESSFwc3","ESSFwc3/Ro"
"272","ESSFwc4","ESSFwc4/Ro"
"273","ESSFwcw","ESSFwcw/Ro"
"274","ESSFwh_MT","ESSFwh_MT/Ro"
"275","ESSFwh1","ESSFwh1/Ro"
"276","ESSFwh2","ESSFwh2/Ro"
"277","ESSFwh3","ESSFwh3/Ro"
"278","ESSFwk1","ESSFwk1/Ro"
"279","ESSFwk2","ESSFwk2/Ro"
"280","ESSFwm_MT","ESSFwm_MT/Ro"
"281","ESSFwm1","ESSFwm1/Ro"
"282","ESSFwm2","ESSFwm2/Ro"
"283","ESSFwm3","ESSFwm3/Ro"
"284","ESSFwm4","ESSFwm4/Ro"
"285","ESSFwmp_MT","ESSFwmp_MT/00"
"286","ESSFwmw","ESSFwmw/Ro"
"287","ESSFwvw","ESSFwvw/Ro"
"288","ESSFxc_CO","ESSFxc_CO/Ro"
"289","ESSFxc_WA","ESSFxc_WA/Ro"
"290","ESSFxc1","ESSFxc1/Gg"
"291","ESSFxc2","ESSFxc2/103a"
"292","ESSFxc2","ESSFxc2/103b"
"293","ESSFxc2","ESSFxc2/Gg"
"294","ESSFxc2","ESSFxc2/Ws12"
"295","ESSFxc3","ESSFxc3/03"
"296","ESSFxc3","ESSFxc3/04"
"297","ESSFxc3","ESSFxc3/09"
"298","ESSFxc3","ESSFxc3/10"
"299","ESSFxcp_CO","ESSFxcp_CO/00"
"300","ESSFxcp_CO","ESSFxcp_CO/Ro"
"301","ESSFxcp_WA","ESSFxcp_WA/00"
"302","ESSFxcw","ESSFxcw/111"
"303","ESSFxcw","ESSFxcw/112"
"304","ESSFxcw","ESSFxcw/Gg"
"305","ESSFxh_WA","ESSFxh_WA/Ro"
"306","ESSFxk_MT","ESSFxk_MT/Ro"
"307","ESSFxk_UT","ESSFxk_UT/Ro"
"308","ESSFxk_WY","ESSFxk_WY/Ro"
"309","ESSFxkp_MT","ESSFxkp_MT/00"
"310","ESSFxkp_MT","ESSFxkp_MT/Ro"
"311","ESSFxkp_UT","ESSFxkp_UT/00"
"312","ESSFxkp_UT","ESSFxkp_UT/Ro"
"313","ESSFxkp_WY","ESSFxkp_WY/00"
"314","ESSFxkp_WY","ESSFxkp_WY/Ro"
"315","ESSFxv2","ESSFxv2/Ro"
"316","ESSFxw_OR","ESSFxw_OR/Ro"
"317","ESSFxwp_OR","ESSFxwp_OR/00"
"318","ESSFxx_WY","ESSFxx_WY/Ro"
"319","ESSFxxp_WY","ESSFxxp_WY/00"
"320","ESSFxxp_WY","ESSFxxp_WY/Ro"
"321","FGff","FGff/00"
"322","FGnf","FGnf/00"
"323","GBDdw_UT","GBDdw_UT/Gg"
"324","GBDdw_UT","GBDdw_UT/Ro"
"325","GBDxh_NV","GBDxh_NV/Gg"
"326","GBDxh_NV","GBDxh_NV/Gs"
"327","GBDxh_NV","GBDxh_NV/Ro"
"328","GBDxx_UT","GBDxx_UT/Gg"
"329","GBDxx_UT","GBDxx_UT/Gs"
"330","GBDxx_UT","GBDxx_UT/Ro"
"331","GOun_CO","GOun_CO/Ro"
"332","ICHdh_ID","ICHdh_ID/Ro"
"333","ICHdk","ICHdk/Ro"
"334","ICHdm","ICHdm/Fm01"
"335","ICHdm","ICHdm/Fm02"
"336","ICHdm","ICHdm/Fm04"
"337","ICHdm","ICHdm/Ro"
"338","ICHdw_ID","ICHdw_ID/Ro"
"339","ICHdw1","ICHdw1/Fm01"
"340","ICHdw1","ICHdw1/Fm02"
"341","ICHdw1","ICHdw1/Fm04"
"342","ICHdw1","ICHdw1/Ro"
"343","ICHdw4","ICHdw4/Fm01"
"344","ICHdw4","ICHdw4/Fm02"
"345","ICHdw4","ICHdw4/Fm04"
"346","ICHdw4","ICHdw4/Ro"
"347","ICHmc1","ICHmc1/Ro"
"348","ICHmc1a","ICHmc1a/Ro"
"349","ICHmc2","ICHmc2/06a"
"350","ICHmc2","ICHmc2/06b"
"351","ICHmc2","ICHmc2/Ro"
"352","ICHmh_MT","ICHmh_MT/Ro"
"353","ICHmk1","ICHmk1/Ro"
"354","ICHmk3","ICHmk3/Ro"
"355","ICHmk4","ICHmk4/Fm01"
"356","ICHmk4","ICHmk4/Fm02"
"357","ICHmk4","ICHmk4/Ro"
"358","ICHmk5","ICHmk5/Ro"
"359","ICHmm","ICHmm/Ro"
"360","ICHmw_MT","ICHmw_MT/Ro"
"361","ICHmw1","ICHmw1/Ro"
"362","ICHmw2","ICHmw2/Fm01"
"363","ICHmw2","ICHmw2/Fm02"
"364","ICHmw2","ICHmw2/Fm04"
"365","ICHmw2","ICHmw2/Ro"
"366","ICHmw3","ICHmw3/09"
"367","ICHmw4","ICHmw4/Fm01"
"368","ICHmw4","ICHmw4/Fm02"
"369","ICHmw4","ICHmw4/Fm04"
"370","ICHmw4","ICHmw4/Ro"
"371","ICHmw5","ICHmw5/Fm01"
"372","ICHmw5","ICHmw5/Fm02"
"373","ICHmw5","ICHmw5/Ro"
"374","ICHvc","ICHvc/Ro"
"375","ICHvk_ID","ICHvk_ID/Ro"
"376","ICHvk2","ICHvk2/Ro"
"377","ICHwc","ICHwc/Ro"
"378","ICHwk1","ICHwk1/Ro"
"379","ICHwk2","ICHwk2/Ro"
"380","ICHwk3","ICHwk3/Ro"
"381","ICHwk4","ICHwk4/Ro"
"382","ICHxh_ID","ICHxh_ID/Ro"
"383","ICHxm1","ICHxm1/Fm"
"384","ICHxm1","ICHxm1/Ro"
"385","ICHxw","ICHxw/Fm01"
"386","ICHxw","ICHxw/Ro"
"387","ICHxw_ID","ICHxw_ID/Ro"
"388","ICHxw_WA","ICHxw_WA/Ro"
"389","ICHxwa","ICHxwa/Fm01"
"390","ICHxwa","ICHxwa/Ro"
"391","IDFdc","IDFdc/04"
"392","IDFdc","IDFdc/07"
"393","IDFdc","IDFdc/08"
"394","IDFdc","IDFdc/Gg"
"395","IDFdh","IDFdh/Fm01"
"396","IDFdh","IDFdh/Fm05"
"397","IDFdh","IDFdh/Ro"
"398","IDFdh_MT","IDFdh_MT/Ro"
"399","IDFdh_UT","IDFdh_UT/Ro"
"400","IDFdh_WA","IDFdh_WA/Ro"
"401","IDFdk_MT","IDFdk_MT/Ro"
"402","IDFdk_WA","IDFdk_WA/Ro"
"403","IDFdk1","IDFdk1/110$6B.1"
"404","IDFdk1","IDFdk1/Gg1"
"405","IDFdk1","IDFdk1/Gg2"
"406","IDFdk1","IDFdk1/Ro"
"407","IDFdk2","IDFdk2/Gg"
"408","IDFdk2","IDFdk2/Rt07"
"409","IDFdk2","IDFdk2/Rt08"
"410","IDFdk3","IDFdk3/Ro"
"411","IDFdk4","IDFdk4/Ro"
"412","IDFdk5","IDFdk5/Fm01"
"413","IDFdk5","IDFdk5/Fm02"
"414","IDFdk5","IDFdk5/Fm07"
"415","IDFdk5","IDFdk5/Ro"
"416","IDFdkx_MT","IDFdkx_MT/Ro"
"417","IDFdm_MT","IDFdm_MT/Ro"
"418","IDFdm_WA","IDFdm_WA/Ro"
"419","IDFdm1","IDFdm1/110.1"
"420","IDFdm1","IDFdm1/110.2"
"421","IDFdm1","IDFdm1/Fm01"
"422","IDFdm1","IDFdm1/Fm05"
"423","IDFdm1","IDFdm1/Ro"
"424","IDFdm2","IDFdm2/Ro"
"425","IDFdw","IDFdw/A1"
"426","IDFdw","IDFdw/B2"
"427","IDFdw","IDFdw/B5"
"428","IDFdw","IDFdw/B6"
"429","IDFdw","IDFdw/C4"
"430","IDFdw","IDFdw/D5"
"431","IDFdw","IDFdw/D6"
"432","IDFdw","IDFdw/Ro"
"433","IDFdw","IDFdw/wet"
"434","IDFdx_MT","IDFdx_MT/Gg"
"435","IDFdx_MT","IDFdx_MT/Ro"
"436","IDFdxx_WY","IDFdxx_WY/Ro"
"437","IDFww","IDFww/Fl"
"438","IDFww","IDFww/Fm"
"439","IDFww","IDFww/Wb"
"440","IDFww","IDFww/Ws"
"441","IDFxh_ID","IDFxh_ID/Gg"
"442","IDFxh_ID","IDFxh_ID/Ro"
"443","IDFxh_OR","IDFxh_OR/Ro"
"444","IDFxh_WA","IDFxh_WA/Ro"
"445","IDFxh1","IDFxh1/102.1"
"446","IDFxh1","IDFxh1/102.2"
"447","IDFxh1","IDFxh1/Gg"
"448","IDFxk","IDFxk/Fm01"
"449","IDFxk","IDFxk/Fm02"
"450","IDFxk","IDFxk/Fm07"
"451","IDFxk","IDFxk/Ro"
"452","IDFxm","IDFxm/10"
"453","IDFxm","IDFxm/Gg"
"454","IDFxm","IDFxm/Ro"
"455","IDFxm_CO","IDFxm_CO/Ro"
"456","IDFxw","IDFxw/Ro"
"457","IDFxx_MT","IDFxx_MT/Ro"
"458","IDFxx_WA","IDFxx_WA/Ro"
"459","IDFxx1","IDFxx1/Ro"
"460","IDFxx2","IDFxx2/Fm01"
"461","IDFxx2","IDFxx2/Fm02"
"462","IDFxx2","IDFxx2/Fm07"
"463","IDFxx2","IDFxx2/Ro"
"464","IGFdk_WA","IGFdk_WA/Ro"
"465","IGFdw_OR","IGFdw_OR/Ro"
"466","IGFmh_OR","IGFmh_OR/Ro"
"467","IGFmm_OR","IGFmm_OR/Ro"
"468","IGFxm_OR","IGFxm_OR/Gg"
"469","IGFxm_OR","IGFxm_OR/Ro"
"470","IMAab","IMAab/00"
"471","IMAun","IMAun/00"
"472","IMAun_CO","IMAun_CO/00"
"473","IMAun_ID","IMAun_ID/00"
"474","IMAun_MT","IMAun_MT/00"
"475","IMAun_OR","IMAun_OR/00"
"476","IMAun_WA","IMAun_WA/00"
"477","IMAun_WY","IMAun_WY/00"
"478","IMAunp","IMAunp/00"
"479","IWFdm_CO","IWFdm_CO/103"
"480","IWFdm_CO","IWFdm_CO/Ro"
"481","IWFdw_OR","IWFdw_OR/Ro"
"482","IWFxk_NV","IWFxk_NV/Ro"
"483","IWFxm_CA","IWFxm_CA/Ro"
"484","JPWdm_WY","JPWdm_WY/Ro"
"485","JPWdw_UT","JPWdw_UT/Gg"
"486","JPWdw_UT","JPWdw_UT/Ro"
"487","JPWmk_WY","JPWmk_WY/Ro"
"488","JPWwm_CO","JPWwm_CO/Ro"
"489","JPWxh_CA","JPWxh_CA/113"
"490","JPWxh_CA","JPWxh_CA/Gg"
"491","JPWxh_CA","JPWxh_CA/Ro"
"492","JPWxw_NV","JPWxw_NV/Gg"
"493","JPWxw_NV","JPWxw_NV/Ro"
"494","MDCHun_NV","MDCHun_NV/Gs"
"495","MDCHun_NV","MDCHun_NV/Ro"
"496","MGPdm","MGPdm/00"
"497","MGPmg","MGPmg/00"
"498","MGPmw_MT","MGPmw_MT/Gg"
"499","MGPmw_MT","MGPmw_MT/Ro"
"500","MHdm_OR","MHdm_OR/Ro"
"501","MHdmp_OR","MHdmp_OR/00"
"502","MHds_OR","MHds_OR/Ro"
"503","MHds_WA","MHds_WA/Ro"
"504","MHmm_WA","MHmm_WA/Ro"
"505","MHmm1","MHmm1/Wb"
"506","MHmm1","MHmm1/Ws"
"507","MHmm2","MHmm2/Ws"
"508","MHmmp_WA","MHmmp_WA/00"
"509","MHms_WA","MHms_WA/Ro"
"510","MHmsp","MHmsp/h"
"511","MHmsp","MHmsp/m"
"512","MHmsp","MHmsp/x"
"513","MHmsp_WA","MHmsp_WA/00"
"514","MHRFdm_OR","MHRFdm_OR/Ro"
"515","MHRFdmp_OR","MHRFdmp_OR/00"
"516","MHRFdmp_OR","MHRFdmp_OR/Ro"
"517","MHRFds_CA","MHRFds_CA/Ro"
"518","MHRFdsp_CA","MHRFdsp_CA/00"
"519","MHRFdsp_CA","MHRFdsp_CA/Ro"
"520","MHRFmm_OR","MHRFmm_OR/Ro"
"521","MHRFmmp_OR","MHRFmmp_OR/Ro"
"522","MHvh","MHvh/Wb"
"523","MHvh","MHvh/Wf"
"524","MHvhp","MHvhp/h"
"525","MHvhp","MHvhp/m"
"526","MHvhp","MHvhp/x"
"527","MMMdk_NV","MMMdk_NV/101"
"528","MMMdk_NV","MMMdk_NV/102"
"529","MMMdk_NV","MMMdk_NV/103"
"530","MMMdk_NV","MMMdk_NV/110"
"531","MMMdk_NV","MMMdk_NV/111"
"532","MMMdk_NV","MMMdk_NV/Ro"
"533","MSabN","MSabN/a"
"534","MSabN","MSabN/Ro"
"535","MSabS","MSabS/a"
"536","MSabS","MSabS/Ro"
"537","MSdc1","MSdc1/05"
"538","MSdc3","MSdc3/05"
"539","MSdc3","MSdc3/06"
"540","MSdc3","MSdc3/07"
"541","MSdc3","MSdc3/08"
"542","MSdh_MT","MSdh_MT/Ro"
"543","MSdh_UT","MSdh_UT/Ro"
"544","MSdh_WY","MSdh_WY/Ro"
"545","MSdk","MSdk/Fm01"
"546","MSdk","MSdk/Fm02"
"547","MSdk","MSdk/Ro"
"548","MSdk_CO","MSdk_CO/Ro"
"549","MSdm_WA","MSdm_WA/Ro"
"550","MSdm1","MSdm1/Ro"
"551","MSdm2","MSdm2/Rt07"
"552","MSdm2","MSdm2/Rt08"
"553","MSdm3","MSdm3/02"
"554","MSdw","MSdw/Fm01"
"555","MSdw","MSdw/Fm02"
"556","MSdw","MSdw/Ro"
"557","MSdw_MT","MSdw_MT/Ro"
"558","MSmm_ID","MSmm_ID/Ro"
"559","MSSDun_NV","MSSDun_NV/Gg"
"560","MSSDun_NV","MSSDun_NV/Ro"
"561","MSxh_OR","MSxh_OR/Ro"
"562","MSxk_WA","MSxk_WA/Ro"
"563","MSxk1","MSxk1/Gg"
"564","MSxk1","MSxk1/Gs"
"565","MSxk1","MSxk1/Rt07"
"566","MSxk2","MSxk2/Gg"
"567","MSxk2","MSxk2/Rt07"
"568","MSxk2","MSxk2/Rt08"
"569","MSxk3","MSxk3/03"
"570","MSxk3","MSxk3/04"
"571","MSxm_CO","MSxm_CO/Ro"
"572","MSxv","MSxv/02a"
"573","MSxv","MSxv/02b"
"574","MSxv","MSxv/Ro"
"575","MSxx_NV","MSxx_NV/Ro"
"576","OWdm_OR","OWdm_OR/101"
"577","OWdm_OR","OWdm_OR/102"
"578","OWdm_OR","OWdm_OR/103"
"579","OWdm_OR","OWdm_OR/110"
"580","OWdm_OR","OWdm_OR/111"
"581","OWdm_OR","OWdm_OR/Ro"
"582","OWmm_OR","OWmm_OR/101"
"583","OWmm_OR","OWmm_OR/102"
"584","OWmm_OR","OWmm_OR/103"
"585","OWmm_OR","OWmm_OR/110"
"586","OWmm_OR","OWmm_OR/111"
"587","OWmm_OR","OWmm_OR/Ro"
"588","OWun_CA","OWun_CA/Ro"
"589","PPmx_WY","PPmx_WY/Gg"
"590","PPmx_WY","PPmx_WY/Ro"
"591","PPxh_CO","PPxh_CO/Gg"
"592","PPxh_CO","PPxh_CO/Ro"
"593","PPxh_WA","PPxh_WA/Gg"
"594","PPxh_WA","PPxh_WA/Ro"
"595","PPxh1","PPxh1/Gg"
"596","PPxh1","PPxh1/Gs"
"597","PPxh1","PPxh1/Ro"
"598","PPxh2","PPxh2/103a"
"599","PPxh2","PPxh2/103b"
"600","PPxh2","PPxh2/Gg"
"601","PPxk_OR","PPxk_OR/Gg"
"602","PPxk_OR","PPxk_OR/Ro"
"603","PPxm_OR","PPxm_OR/Ro"
"604","PPxw_MT","PPxw_MT/Gg"
"605","PPxw_MT","PPxw_MT/Ro"
"606","PPxw_WY","PPxw_WY/Gg"
"607","PPxw_WY","PPxw_WY/Ro"
"608","PPxx_OR","PPxx_OR/Gg"
"609","PPxx_OR","PPxx_OR/Ro"
"610","SASbo","SASbo/Ro"
"611","SBAPcp","SBAPcp/a"
"612","SBAPcp","SBAPcp/i"
"613","SBAPcp","SBAPcp/j"
"614","SBAPcp","SBAPcp/k"
"615","SBAPcp","SBAPcp/Ro"
"616","SBAPfp","SBAPfp/d"
"617","SBPSdc","SBPSdc/Ro"
"618","SBPSmc","SBPSmc/Ro"
"619","SBPSmk","SBPSmk/Ro"
