"","BGC","ss_nospace"
"1","BAFAun","BAFAun/00"
"2","BAFAunp","BAFAunp/00"
"3","BGdh_OR","BGdh_OR/Gg1"
"4","BGdh_OR","BGdh_OR/Ro"
"5","BGdw_OR","BGdw_OR/Gg"
"6","BGdw_OR","BGdw_OR/Ro"
"7","BGdw_WA","BGdw_WA/Gg"
"8","BGdw_WA","BGdw_WA/Ro"
"9","BGmk_ID","BGmk_ID/Ro"
"10","BGmk_MT","BGmk_MT/Gg1"
"11","BGmk_MT","BGmk_MT/Ro"
"12","BGmk_NV","BGmk_NV/Gg1"
"13","BGmk_NV","BGmk_NV/Ro"
"14","BGmm_MT","BGmm_MT/Gg1"
"15","BGmm_MT","BGmm_MT/Ro"
"16","BGmw_OR","BGmw_OR/Gg"
"17","BGmw_OR","BGmw_OR/Ro"
"18","BGmw_WA","BGmw_WA/Gg"
"19","BGmw_WA","BGmw_WA/Ro"
"20","BGwm_WA","BGwm_WA/Gg"
"21","BGwm_WA","BGwm_WA/Ro"
"22","BGxh_WA","BGxh_WA/Gg1"
"23","BGxh_WA","BGxh_WA/Ro"
"24","BGxh1","BGxh1/Gg"
"25","BGxh2","BGxh2/Gg"
"26","BGxh2","BGxh2/Gs"
"27","BGxh3","BGxh3/Fm01"
"28","BGxh3","BGxh3/Gg"
"29","BGxh3","BGxh3/Ro"
"30","BGxw1","BGxw1/Gg"
"31","BGxw1","BGxw1/Ro"
"32","BGxw2","BGxw2/101"
"33","BGxw2","BGxw2/Gg"
"34","BGxw2","BGxw2/Ro"
"35","BGxx_WY","BGxx_WY/Gg1"
"36","BGxx_WY","BGxx_WY/Gg2"
"37","BGxx_WY","BGxx_WY/Ro"
"38","BSJPap","BSJPap/Ro"
"39","BSJPku","BSJPku/Ro"
"40","BSJPpa","BSJPpa/Ro"
"41","BWBScmC","BWBScmC/Ro"
"42","BWBScmE","BWBScmE/Ro"
"43","BWBScmNW","BWBScmNW/Ro"
"44","BWBScmW","BWBScmW/Ro"
"45","BWBSdk","BWBSdk/Gb"
"46","BWBSdk","BWBSdk/Gg"
"47","BWBSdk","BWBSdk/Ro"
"48","BWBSdmN","BWBSdmN/Ro"
"49","BWBSdmS","BWBSdmS/Ro"
"50","BWBSlbE","BWBSlbE/Ro"
"51","BWBSlbN","BWBSlbN/Ro"
"52","BWBSlbW","BWBSlbW/Ro"
"53","BWBSlf","BWBSlf/a"
"54","BWBSlf","BWBSlf/g"
"55","BWBSlf","BWBSlf/n"
"56","BWBSlf","BWBSlf/Ro"
"57","BWBSmk","BWBSmk/Gg"
"58","BWBSmk","BWBSmk/Ro"
"59","BWBSmw","BWBSmw/Gg"
"60","BWBSmw","BWBSmw/Ro"
"61","BWBSnm","BWBSnm/l"
"62","BWBSnm","BWBSnm/Ro"
"63","BWBSpp","BWBSpp/l"
"64","BWBSub","BWBSub/Ro"
"65","BWBSuf","BWBSuf/a"
"66","BWBSuf","BWBSuf/g"
"67","BWBSuf","BWBSuf/Ro"
"68","BWBSvk","BWBSvk/x"
"69","BWBSwk1","BWBSwk1/Ro"
"70","BWBSwk2","BWBSwk2/Gg"
"71","BWBSwk2","BWBSwk2/Ro"
"72","BWBSwk3","BWBSwk3/Ro"
"73","CCHun_CA","CCHun_CA/Gs"
"74","CCHun_CA","CCHun_CA/Ro"
"75","CDFmm","CDFmm/102.1"
"76","CDFmm","CDFmm/102.2"
"77","CDFmm","CDFmm/112"
"78","CDFmm","CDFmm/Fl"
"79","CDFmm","CDFmm/Fm"
"80","CDFmm","CDFmm/Wb"
"81","CDFmm","CDFmm/Ws"
"82","CDFmm_OR","CDFmm_OR/Ro"
"83","CDFmm_WA","CDFmm_WA/Ro"
"84","CDFxm_CA","CDFxm_CA/Ro"
"85","CMAun","CMAun/00"
"86","CMAun_CA","CMAun_CA/00"
"87","CMAun_OR","CMAun_OR/00"
"88","CMAun_WA","CMAun_WA/00"
"89","CMAunp","CMAunp/00"
"90","CMAwh","CMAwh/00"
"91","CMXdm_OR","CMXdm_OR/Ro"
"92","CMXmm_OR","CMXmm_OR/Ro"
"93","CMXwm_OR","CMXwm_OR/Ro"
"94","CMXxm_CA","CMXxm_CA/Ro"
"95","CRFdh_CA","CRFdh_CA/Ro"
"96","CVGdm_CA","CVGdm_CA/Gg"
"97","CVGdm_CA","CVGdm_CA/Ro"
"98","CWFdm_OR","CWFdm_OR/Ro"
"99","CWFds_CA","CWFds_CA/Ro"
"100","CWFmm_OR","CWFmm_OR/Ro"
"101","CWFwm_OR","CWFwm_OR/Ro"
"102","CWHdm_OC","CWHdm_OC/Ro"
"103","CWHdm_OR","CWHdm_OR/Ro"
"104","CWHdm_WA","CWHdm_WA/Ro"
"105","CWHdm_WC","CWHdm_WC/Ro"
"106","CWHdm1","CWHdm1/Fl"
"107","CWHdm1","CWHdm1/Fm"
"108","CWHdm1","CWHdm1/Wb"
"109","CWHdm2","CWHdm2/Wb"
"110","CWHdm3","CWHdm3/Fm"
"111","CWHdm3","CWHdm3/Wb"
"112","CWHdm3","CWHdm3/Ws"
"113","CWHds_WA","CWHds_WA/Ro"
"114","CWHds1","CWHds1/Fl"
"115","CWHds1","CWHds1/Fm"
"116","CWHds1","CWHds1/Wb"
"117","CWHds1","CWHds1/Ws"
"118","CWHds2","CWHds2/104"
"119","CWHds2","CWHds2/Wb"
"120","CWHds2","CWHds2/Ws"
"121","CWHmh_OR","CWHmh_OR/Ro"
"122","CWHmm1","CWHmm1/111"
"123","CWHmm1","CWHmm1/Fl"
"124","CWHmm1","CWHmm1/Fm"
"125","CWHmm2","CWHmm2/101a"
"126","CWHmm2","CWHmm2/101b"
"127","CWHmm2","CWHmm2/Wb"
"128","CWHmm2","CWHmm2/Ws"
"129","CWHms_OR","CWHms_OR/Ro"
"130","CWHms_WA","CWHms_WA/Ro"
"131","CWHms1","CWHms1/Fl"
"132","CWHms1","CWHms1/Fm"
"133","CWHms1","CWHms1/Wb"
"134","CWHms1","CWHms1/Ws"
"135","CWHms2","CWHms2/Wb"
"136","CWHms2","CWHms2/Ws"
"137","CWHms3","CWHms3/Fl"
"138","CWHms3","CWHms3/Fm"
"139","CWHms3","CWHms3/Wb"
"140","CWHms3","CWHms3/Ws"
"141","CWHvh_WA","CWHvh_WA/Ro"
"142","CWHvh1","CWHvh1/Fl"
"143","CWHvh1","CWHvh1/Fm"
"144","CWHvh1","CWHvh1/Wb"
"145","CWHvh1","CWHvh1/Ws"
"146","CWHvh2","CWHvh2/113"
"147","CWHvh2","CWHvh2/Fl"
"148","CWHvh2","CWHvh2/Fm"
"149","CWHvh2","CWHvh2/Wb"
"150","CWHvh2","CWHvh2/Ws"
"151","CWHvh3","CWHvh3/101"
"152","CWHvh3","CWHvh3/101a"
"153","CWHvh3","CWHvh3/101b"
"154","CWHvh3","CWHvh3/101c"
"155","CWHvh3","CWHvh3/102"
"156","CWHvh3","CWHvh3/103"
"157","CWHvh3","CWHvh3/103.1"
"158","CWHvh3","CWHvh3/103.2"
"159","CWHvh3","CWHvh3/104"
"160","CWHvh3","CWHvh3/105"
"161","CWHvh3","CWHvh3/105a"
"162","CWHvh3","CWHvh3/105b"
"163","CWHvh3","CWHvh3/106"
"164","CWHvh3","CWHvh3/106a"
"165","CWHvh3","CWHvh3/106b"
"166","CWHvh3","CWHvh3/106c"
"167","CWHvh3","CWHvh3/110"
"168","CWHvh3","CWHvh3/110a"
"169","CWHvh3","CWHvh3/110b"
"170","CWHvh3","CWHvh3/110c"
"171","CWHvh3","CWHvh3/111"
"172","CWHvh3","CWHvh3/112"
"173","CWHvh3","CWHvh3/113"
"174","CWHvh3","CWHvh3/114"
"175","CWHvh3","CWHvh3/115"
"176","CWHvh3","CWHvh3/116"
"177","CWHvh3","CWHvh3/117"
"178","CWHvh3","CWHvh3/117a"
"179","CWHvh3","CWHvh3/117b"
"180","CWHvh3","CWHvh3/Wb53"
"181","CWHvm_OR","CWHvm_OR/Ro"
"182","CWHvm_WA","CWHvm_WA/Ro"
"183","CWHvm1","CWHvm1/Fl"
"184","CWHvm1","CWHvm1/Fm"
"185","CWHvm1","CWHvm1/Wb"
"186","CWHvm1","CWHvm1/Ws"
"187","CWHvm2","CWHvm2/114"
"188","CWHvm2","CWHvm2/115"
"189","CWHvm2","CWHvm2/Wb"
"190","CWHvm2","CWHvm2/Ws"
"191","CWHvm3","CWHvm3/Fl"
"192","CWHvm3","CWHvm3/Fm"
"193","CWHvm3","CWHvm3/Wb"
"194","CWHvm3","CWHvm3/Ws"
"195","CWHvm4","CWHvm4/104"
"196","CWHvm4","CWHvm4/Wb"
"197","CWHvm4","CWHvm4/Ws"
"198","CWHwh_OR","CWHwh_OR/Ro"
"199","CWHwh_WA","CWHwh_WA/Ro"
"200","CWHwh2","CWHwh2/Ro"
"201","CWHwm","CWHwm/101.1"
"202","CWHwm","CWHwm/101.2"
"203","CWHwm","CWHwm/112a"
"204","CWHwm","CWHwm/112b"
"205","CWHwm","CWHwm/Fl"
